NAME                                                                                      ,ADDRESSSTREETNAME       ,ADDRESSPOSTALCODE ,LONGITUDE        ,LATITUDE
Market Street Hawker Centre                                                               ,Market Street           ,            48940 ,103.850164578087 ,1.2844248503218
Marsiling Mall Hawker Centre                                                              ,Woodlands Street 12     ,           738623 ,103.779784899996 ,1.43353885680037
Margaret Drive Hawker Centre                                                              ,Margaret Drive          ,           142038 ,103.804715225285 ,1.29748567106686
Fernvale Hawker Centre & Market                                                           ,Sengkang West Avenue    ,           797650 ,103.877060478847 ,1.39159232727757
One Punggol Hawker Centre                                                                 ,Punggol Drive           ,           828629 ,103.904805657576 ,1.40818996870647
Bukit Canberra Hawker Centre                                                              ,Canberra Link           ,           756973 ,103.822484958307 ,1.44901674160031
Senja Hawker Centre                                                                       ,Senja Close             ,           677632 ,103.761017756804 ,1.38713573069818
Bedok North Street 3 Blk 538                                                              ,Bedok North Street 3    ,           460538 ,103.924844235398 ,1.33178125123252
Bedok North Street 4 Blk 85 (85 Fengshan Centre)                                          ,Bedok North Street 4    ,           460085 ,103.938732580554 ,1.33198706861747
Adam Road Food Centre                                                                     ,Adam Road               ,           289876 ,103.814165010384 ,1.32413422253318
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)                          ,Aljunied Ave 2          ,           380117 ,103.88701902611  ,1.32064829234987
Amoy Street Food Centre (Telok Ayer Food Centre)                                          ,Telok Ayer Street       ,            69111 ,103.846606784092 ,1.27921844263269
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)                             ,Ang Mo Kio Ave 1        ,           564226 ,103.839231344066 ,1.36678764523637
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)                                                ,Ang Mo Kio Ave 1        ,           560341 ,103.848254220438 ,1.36410517096399
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)                                              ,Ang Mo Kio Ave 10       ,           560409 ,103.855369790045 ,1.36276891777383
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)                            ,Ang Mo Kio Ave 10       ,           561453 ,103.856351437414 ,1.36824049310006
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)                       ,Ang Mo Kio Ave 10       ,           560527 ,103.854482811591 ,1.37276992816898
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)                                           ,Ang Mo Kio Ave 4        ,           560160 ,103.839214290038 ,1.37448912101909
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)                                          ,Ang Mo Kio Ave 4        ,           560628 ,103.840682307297 ,1.38102486670548
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)                                      ,Ang Mo Kio Ave 6        ,           560724 ,103.846519219268 ,1.37219743270045
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)                                    ,Ang Mo Kio Street 22    ,           568226 ,103.839953165936 ,1.36723014879667
Bedok Food Centre                                                                         ,Bedok Road              ,           469572 ,103.955474150677 ,1.32035600765426
Bedok North Street 1 Blk 216                                                              ,Bedok North Street 1    ,           460216 ,103.933221544751 ,1.32706240888967
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre)                      ,Bedok North Street 3    ,           460511 ,103.930602144469 ,1.33324627868937
Bedok Reservoir Road Blk 630                                                              ,Bedok Reservoir Road    ,           470630 ,103.91405388831  ,1.33315924777343
Bedok South Road Blk 16                                                                   ,Bedok South Road        ,           460016 ,103.93553909635  ,1.32055216480957
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre)                                  ,Bendemeer Road          ,           330029 ,103.863021377531 ,1.31921699786807
Beo Crescent Market                                                                       ,Beo Crescent            ,           169982 ,103.827358017197 ,1.28882210205212
Berseh Food Centre                                                                        ,Jalan Besar             ,           208877 ,103.856853966617 ,1.30733651651517
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village)                        ,Boon Lay Place          ,           641221 ,103.712799765872 ,1.3452231627967
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market)                                       ,Buffalo Road            ,           210665 ,103.850530969624 ,1.30620584090733
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre)                             ,Bukit Merah Central     ,           150163 ,103.816992390295 ,1.28369258928085
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre)                                ,Bukit Merah Lane 1      ,           150120 ,103.804489277779 ,1.28629777221659
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre)                ,Bukit Merah View        ,           151115 ,103.822049361292 ,1.28550478314618
Bukit Panjang Hawker Centre                                                               ,Bukit Panjang Ring Road ,           679947 ,103.772489583206 ,1.37760053528611
Bukit Timah Market                                                                        ,Upper Bukit Timah Road  ,           588215 ,103.775995008012 ,1.33937596351523
Cambridge Road Blk 41A (Pek Kio Market and Food Centre)                                   ,Cambridge Road          ,           211041 ,103.850225081031 ,1.31615991374589
Changi Village Blk 2 and 3                                                                ,Changi Village Road     ,           500002 ,103.988245749103 ,1.38915172065006
Chomp Chomp Food Centre                                                                   ,Kensington Park Road    ,           557269 ,103.866536130299 ,1.36422852315868
Ci Yuan Hawker Centre                                                                     ,Hougang Avenue 9        ,           538776 ,103.882977999397 ,1.37542896666561
Circuit Road Blk 79/79A                                                                   ,Circuit Road            ,           370079 ,103.885043500019 ,1.32644992167231
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre)                              ,Circuit Road            ,           370080 ,103.887128535137 ,1.32784956142548
Circuit Road Blk 89                                                                       ,Circuit Road            ,           370089 ,103.885449224256 ,1.32344525333847
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)                         ,Clementi Ave 2          ,           120353 ,103.770836740843 ,1.31436772839327
Clementi Ave 3 Blk 448                                                                    ,Clementi Ave 3          ,           120448 ,103.764510533078 ,1.31326486994113
Clementi West Street 2 Blk 726                                                            ,Clementi West Street 2  ,           120726 ,103.764264410293 ,1.3037819726711
Commonwealth Crescent Market                                                              ,Commonwealth Crescent   ,           149644 ,103.800362825517 ,1.3068922760844
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre) ,Commonwealth Drive      ,           141001 ,103.797875477439 ,1.29971330531884
Dunman Food Centre                                                                        ,Onan Road               ,           424768 ,103.90182514721  ,1.30941418731185
East Coast Lagoon Food Village                                                            ,East Coast Parkway      ,           468960 ,103.935016747249 ,1.30668431820832
Empress Road Blk 7 (Empress Road Market and Food Centre)                                  ,Empress Road            ,           260007 ,103.805636386821 ,1.31624573118373
